Interactor 1 Gene symbol,Interactor 1 HPRD id,Interactor 1 RefSeq id,Interactor 2 Gene symbol,Interactor 2 HPRD id,Interactor 2 RefSeq id,"Experiment type (in vivo, in vitro and yeast 2-hybrid)"
BTK,02248,NP_000052.1,VAV1,01284,NP_005419.2,in vivo
TGFBR1,01822,NP_004603.1,CD44,00115,NP_000601.3,in vitro;in vivo
SYK,02514,NP_003168.2,VAV1,01284,NP_005419.2,in vitro;in vivo;yeast 2-hybrid
SHB,02635,NP_003019.2,VAV1,01284,NP_005419.2,in vitro;in vivo
PRKCQ,02710,NP_006248.1,VAV1,01284,NP_005419.2,in vivo
TEC,02786,NP_003206.2,VAV1,01284,NP_005419.2,in vitro;in vivo
IL6ST,02824,NP_002175.2,VAV1,01284,NP_005419.2,in vivo
HNRNPK,02834,NP_002131.2,VAV1,01284,NP_005419.2,in vitro;in vivo;yeast 2-hybrid
SLA,03060,NP_006739.2,VAV1,01284,NP_005419.2,in vitro;in vivo
PTK2B,03131,NP_004094.3,VAV1,01284,NP_005419.2,in vitro;in vivo
EZH2,03342,NP_004447.2,VAV1,01284,NP_005419.2,in vitro;in vivo;yeast 2-hybrid
LCP2,03362,NP_005556.1,VAV1,01284,NP_005419.2,in vitro;in vivo
TGFBR2,01823,NP_001020018.1,CD44,00115,NP_000601.3,in vivo
ZYX,03592,NP_003452.1,VAV1,01284,NP_005419.2,in vitro;yeast 2-hybrid
SH3BP2,03657,NP_003014.3,VAV1,01284,NP_005419.2,in vivo
SIAH2,03737,NP_005058.3,VAV1,01284,NP_005419.2,in vitro;in vivo;yeast 2-hybrid
LAT,03832,NP_001014989.2,VAV1,01284,NP_005419.2,in vitro;in vivo
ARHGDIB,04162,NP_001166.3,VAV1,01284,NP_005419.2,in vitro;in vivo;yeast 2-hybrid
SOCS1,04669,NP_003736.1,VAV1,01284,NP_005419.2,in vitro;in vivo;yeast 2-hybrid
AOC3,04770,NP_003725.1,VAV1,01284,NP_005419.2,in vivo
NEK3,04954,NP_002489.1,VAV1,01284,NP_005419.2,in vivo
CBLB,05136,NP_733762.2,VAV1,01284,NP_005419.2,in vivo
BLNK,05153,NP_037446.1,VAV1,01284,NP_005419.2,in vivo
VAV2,02694,NP_001127870.1,CD44,00115,NP_000601.3,in vitro
RACGAP1,05402,NP_037409.2,VAV1,01284,NP_005419.2,in vivo
PAG1,05772,NP_060910.3,VAV1,01284,NP_005419.2,in vitro
DOCK2,09121,NP_004937.1,VAV1,01284,NP_005419.2,in vitro
SMURF2,06901,NP_073576.1,FAM175B,13783,NP_115558.3,yeast 2-hybrid
SMURF2,06901,NP_073576.1,ACBD3,08432,NP_073572.2,yeast 2-hybrid
YES1,01285,NP_005424.1,YES1,01285,NP_005424.1,in vitro;in vivo
PECAM1,01425,NP_000433.3,YES1,01285,NP_005424.1,in vitro;in vivo
CD36,01430,NP_000063.2,YES1,01285,NP_005424.1,in vivo
RPL10,02421,NP_006004.2,YES1,01285,NP_005424.1,in vivo
MST1R,02545,NP_002438.2,YES1,01285,NP_005424.1,in vitro;in vivo
ERBB4,02767,NP_005226.1,CD44,00115,NP_000601.3,in vitro;in vivo
TYRO3,02641,NP_006284.2,YES1,01285,NP_005424.1,in vivo
ADAM12,04092,NP_003465.3,YES1,01285,NP_005424.1,in vitro;in vivo
NPHS1,04094,NP_004637.1,YES1,01285,NP_005424.1,in vivo
OCLN,04191,NP_002529.1,YES1,01285,NP_005424.1,in vivo
DLG4,04199,NP_001356.1,YES1,01285,NP_005424.1,in vivo
CD2AP,05026,NP_036252.1,YES1,01285,NP_005424.1,in vitro
TRPV4,05667,NP_067638.3,YES1,01285,NP_005424.1,in vitro;in vivo
SMURF2,06901,NP_073576.1,SF3A2,02877,NP_009096.2,yeast 2-hybrid
GP6,10406,BAB12247.1,YES1,01285,NP_005424.1,in vivo
TP53BP2,11803,NP_001026855.2,YES1,01285,NP_005424.1,in vivo
TIAM1,02820,NP_003244.2,CD44,00115,NP_000601.3,in vitro;in vivo
SP1,01796,NP_612482.2,REL,01286,NP_002899.1,in vitro
ELF1,01808,NP_758961.1,REL,01286,NP_002899.1,in vitro
SMURF2,06901,NP_073576.1,ACOX3,04552,NP_003492.2,yeast 2-hybrid
SMURF2,06901,NP_073576.1,RNF111,09318,NP_060080.6,yeast 2-hybrid
NKRF,02341,NP_060014.2,REL,01286,NP_002899.1,in vitro
TBP,02511,NP_003185.1,REL,01286,NP_002899.1,in vitro
SMURF2,06901,NP_073576.1,TMEM139,08298,NP_699176.1,yeast 2-hybrid
SMURF2,06901,NP_073576.1,LAPTM5,03280,NP_006753.1,yeast 2-hybrid
MAPK8,03100,NP_620637.1,REL,01286,NP_002899.1,in vivo;yeast 2-hybrid
SMURF2,06901,NP_073576.1,SNRNP70,01617,NP_003080.2,yeast 2-hybrid
DMP1,02989,NP_004398.1,CD44,00115,NP_000601.3,in vitro
PPP4C,03615,NP_002711.1,REL,01286,NP_002899.1,in vitro;in vivo;yeast 2-hybrid
NUP155,05984,NP_705618.1,ZFYVE9,04782,NP_004790.2,yeast 2-hybrid
SUMF2,06400,NP_001123541.1,ZFYVE9,04782,NP_004790.2,yeast 2-hybrid
ETS2,01263,NP_005230.1,ZFYVE9,04782,NP_004790.2,yeast 2-hybrid
SMAD7,04241,NP_005895.1,ZNF107,18669,NP_001013768.1,yeast 2-hybrid
SMAD7,04241,NP_005895.1,ZBTB44,13692,NP_054874.3,yeast 2-hybrid
SMAD7,04241,NP_005895.1,TTF2,05280,NP_003585.3,yeast 2-hybrid
HSPA8,07205,NP_006588.1,REL,01286,NP_002899.1,in vitro
SMAD7,04241,NP_005895.1,MYOD1,01166,NP_002469.2,yeast 2-hybrid
GTF2B,08928,NP_001505.1,REL,01286,NP_002899.1,in vitro
ARHGEF1,03511,NP_945353.1,CD44,00115,NP_000601.3,in vivo
SMAD7,04241,NP_005895.1,SOX5,18086,NP_008871.3,yeast 2-hybrid
SMAD7,04241,NP_005895.1,ASH1L,06416,NP_060959.2,yeast 2-hybrid
SMAD7,04241,NP_005895.1,ZBTB11,15690,NP_055230.2,yeast 2-hybrid
REL,01286,NP_002899.1,CALM1,00241,NP_008819.1,in vitro
SMAD7,04241,NP_005895.1,SOX13,09205,AAC83687.1,yeast 2-hybrid
KIT,01287,NP_000213.1,KIT,01287,NP_000213.1,in vitro
LYN,01301,NP_002341.1,KIT,01287,NP_000213.1,in vitro;in vivo
PIK3R1,01381,NP_852664.1,KIT,01287,NP_000213.1,in vitro;in vivo
PLCG1,01398,NP_002651.2,KIT,01287,NP_000213.1,in vivo
PTPN11,01470,NP_002825.3,KIT,01287,NP_000213.1,in vitro;in vivo
LGALS13,16375,NP_037400.1,ACTG1,00017,NP_001605.1,in vitro
NF2,06980,NP_000259.1,CD44,00115,NP_000601.3,in vitro;in vivo
PTPN6,01475,NP_536859.1,KIT,01287,NP_000213.1,in vitro;in vivo
PRKCA,01498,NP_002728.1,KIT,01287,NP_000213.1,in vitro;in vivo
KITLG,01698,NP_000890.1,KIT,01287,NP_000213.1,in vitro;in vivo
SRC,01819,NP_005408.1,KIT,01287,NP_000213.1,in vitro
MATK,02496,NP_002369.2,KIT,01287,NP_000213.1,in vitro
KIT,01287,NP_000213.1,STAT1,02777,NP_009330.1,in vivo
PTPRO,02784,NP_109592.1,KIT,01287,NP_000213.1,in vivo
TEC,02786,NP_003206.2,KIT,01287,NP_000213.1,in vitro;in vivo
GRB7,03311,NP_005301.2,KIT,01287,NP_000213.1,in vitro;in vivo
GRB10,03312,NP_005302.3,KIT,01287,NP_000213.1,in vitro;in vivo;yeast 2-hybrid
FCGR3A,00903,NP_000560.5,CD38,00116,NP_001766.2,in vitro
CRKL,03596,NP_005198.1,KIT,01287,NP_000213.1,in vivo
DOK1,04228,NP_001372.1,KIT,01287,NP_000213.1,in vitro;in vivo
PIK3R2,04404,NP_005018.1,KIT,01287,NP_000213.1,in vitro;in vivo
SOCS1,04669,NP_003736.1,KIT,01287,NP_000213.1,in vivo
GRAP,05062,NP_006604.1,KIT,01287,NP_000213.1,in vitro;in vivo
GRAP2,05156,NP_004801.1,KIT,01287,NP_000213.1,in vitro
SH2B3,05480,NP_005466.1,KIT,01287,NP_000213.1,in vitro
CD81,08924,NP_004347.1,KIT,01287,NP_000213.1,in vivo
MPDZ,09155,NP_003820.2,KIT,01287,NP_000213.1,in vitro;yeast 2-hybrid
SPRED1,11601,NP_689807.1,KIT,01287,NP_000213.1,in vitro
LCK,01080,NP_005347.3,CD38,00116,NP_001766.2,in vitro;in vivo
STAP1,16053,NP_036240.1,KIT,01287,NP_000213.1,in vitro;in vivo;yeast 2-hybrid
SH2B2,16097,NP_066189.3,KIT,01287,NP_000213.1,in vitro
SPRED2,18100,NP_861449.2,KIT,01287,NP_000213.1,in vivo
FGR,01288,NP_005239.1,FGR,01288,NP_005239.1,in vitro;in vivo
CBL,01320,NP_005179.2,FGR,01288,NP_005239.1,in vivo
FGR,01288,NP_005239.1,SRC,01819,NP_005408.1,in vitro
WAS,02314,NP_000368.1,FGR,01288,NP_005239.1,in vitro;in vivo
CD24,02510,NP_037362.1,FGR,01288,NP_005239.1,in vivo
SYK,02514,NP_003168.2,FGR,01288,NP_005239.1,in vitro;in vivo
PTK2,02859,NP_005598.3,FGR,01288,NP_005239.1,in vivo
PECAM1,01425,NP_000433.3,CD38,00116,NP_001766.2,in vitro
DAB2,03139,NP_001334.2,FGR,01288,NP_005239.1,in vitro
CCR3,03167,NP_001828.1,FGR,01288,NP_005239.1,in vivo
FGR,01288,NP_005239.1,HCLS1,03199,NP_005326.2,in vitro;in vivo
SLAMF1,04603,NP_003028.1,FGR,01288,NP_005239.1,in vitro;in vivo
INPP5D,09033,NP_001017915.1,FGR,01288,NP_005239.1,in vivo
EBNA1BP2,16849,NP_006815.2,FGF3,01289,NP_005238.1,in vitro;in vivo;yeast 2-hybrid
DLL4,05540,NP_061947.1,NOTCH4,01290,NP_004548.3,in vitro;in vivo
MAML1,05665,NP_055572.1,NOTCH4,01290,NP_004548.3,in vitro;in vivo;yeast 2-hybrid
FBXW7,05888,NP_361014.1,NOTCH4,01290,NP_004548.3,in vivo
INS,01455,NP_000198.1,NOV,01291,NP_002505.1,in vitro
CD4,01740,NP_000607.1,CD38,00116,NP_001766.2,in vitro
NOTCH1,01827,NP_060087.3,NOV,01291,NP_002505.1,in vivo
DLL1,05957,NP_005609.3,NOV,01291,NP_002505.1,in vitro;in vivo
S100A4,15914,NP_002952.1,NOV,01291,NP_002505.1,in vitro;in vivo;yeast 2-hybrid
NFATC1,02729,NP_765975.1,PIM1,01292,NP_002639.1,in vitro;in vivo
PTPRO,02784,NP_109592.1,PIM1,01292,NP_002639.1,in vitro;in vivo
SND1,03714,AAP88787.1,PIM1,01292,NP_002639.1,in vitro;in vivo;yeast 2-hybrid
CBX3,05130,NP_057671.2,PIM1,01292,NP_002639.1,in vitro;in vivo;yeast 2-hybrid
CBX1,05149,NP_006798.1,PIM1,01292,NP_002639.1,in vitro;in vivo
NHEJ1,07784,NP_079058.1,NHEJ1,07784,NP_079058.1,in vivo
FZD5,03427,NP_003459.2,WNT5A,01293,NP_003383.2,in vivo
C9,00408,NP_001728.1,CD59,00117,NP_000602.1,in vitro
ROR2,03822,NP_004551.2,WNT5A,01293,NP_003383.2,in vitro
FZD1,04558,NP_003496.1,WNT5A,01293,NP_003383.2,in vivo
PTPN6,01475,NP_536859.1,ROS1,01295,NP_002935.2,in vivo;yeast 2-hybrid
ABL1,01809,NP_009297.2,ROS1,01295,NP_002935.2,yeast 2-hybrid
VAV3,05706,NP_006104.4,ROS1,01295,NP_002935.2,in vivo;yeast 2-hybrid
GDI2,02863,NP_001485.2,RAB8A,01296,NP_005361.2,in vitro
OPTN,03891,NP_068815.2,RAB8A,01296,NP_005361.2,yeast 2-hybrid
MAP4K2,04408,NP_004570.2,RAB8A,01296,NP_005361.2,in vivo
RPH3AL,05345,NP_008918.1,RAB8A,01296,NP_005361.2,in vivo
C8A,00409,NP_000553.1,CD59,00117,NP_000602.1,in vitro
SYTL4,06735,NP_542775.2,RAB8A,01296,NP_005361.2,in vitro;in vivo
RIMS2,09436,NP_001093587.1,RAB8A,01296,NP_005361.2,in vitro
RPH3A,15273,NP_001137326.1,RAB8A,01296,NP_005361.2,in vitro
FLT1,01297,NP_002010.2,FLT1,01297,NP_002010.2,in vitro;in vivo
KDR,01867,NP_002244.1,FLT1,01297,NP_002010.2,in vivo
VEGFA,01889,NP_001020537.2,FLT1,01297,NP_002010.2,in vitro;in vivo
PLCG2,02570,AAH11772.1,FLT1,01297,NP_002010.2,in vitro;yeast 2-hybrid
SHC1,02780,NP_001123512.1,FLT1,01297,NP_002010.2,in vitro;in vivo;yeast 2-hybrid
PGF,03076,NP_002623.2,FLT1,01297,NP_002010.2,in vitro
VEGFB,03237,NP_003368.1,FLT1,01297,NP_002010.2,in vivo
GNAI3,00765,NP_006487.1,CD59,00117,NP_000602.1,in vitro;in vivo
ATR,08369,NP_001175.2,FLT1,01297,NP_002010.2,in vitro;in vivo;yeast 2-hybrid
ERG,01298,NP_001129626.1,ERG,01298,NP_001129626.1,in vitro;in vivo
SPI1,01305,NP_001074016.1,ERG,01298,NP_001129626.1,in vitro
FLI1,01901,NP_002008.2,ERG,01298,NP_001129626.1,in vitro
ETV1,02765,NP_004947.2,ERG,01298,NP_001129626.1,in vitro
SETDB1,06828,NP_001138887.1,ERG,01298,NP_001129626.1,in vitro;in vivo;yeast 2-hybrid
SMAD7,04241,NP_005895.1,TTF1,02866,NP_031370.2,yeast 2-hybrid
SOS1,01681,NP_005624.2,RRAS,01299,NP_006261.1,in vivo
ARAF,02405,NP_001645.1,RRAS,01299,NP_006261.1,in vitro;yeast 2-hybrid
NCK1,02740,NP_006144.1,RRAS,01299,NP_006261.1,in vivo;yeast 2-hybrid
CD9,00880,NP_001760.1,CD59,00117,NP_000602.1,in vitro
EPHB2,02997,NP_004433.2,RRAS,01299,NP_006261.1,in vitro
RALGDS,03371,NP_006257.1,RRAS,01299,NP_006261.1,in vitro;yeast 2-hybrid
RASSF5,06117,NP_872604.1,RRAS,01299,NP_006261.1,in vitro;in vivo
NAV2,07385,NP_892009.3,RRAS,01299,NP_006261.1,in vitro
RASIP1,15214,NP_060275.2,RRAS,01299,NP_006261.1,in vitro;yeast 2-hybrid
COL4A5,02363,NP_203699.1,OSM,01300,NP_065391.1,in vitro
COL4A6,02364,NP_001838.2,OSM,01300,NP_065391.1,in vitro
IL6ST,02824,NP_002175.2,OSM,01300,NP_065391.1,in vitro
OSMR,03446,NP_003990.1,OSM,01300,NP_065391.1,in vitro;in vivo
CD2,01750,AAA51946.1,CD59,00117,NP_000602.1,in vitro
LYN,01301,NP_002341.1,LYN,01301,NP_002341.1,in vitro;in vivo
CBL,01320,NP_005179.2,LYN,01301,NP_002341.1,in vivo;yeast 2-hybrid
LYN,01301,NP_002341.1,PLCG1,01398,NP_002651.2,in vitro;in vivo
PECAM1,01425,NP_000433.3,LYN,01301,NP_002341.1,in vitro;in vivo
CD36,01430,NP_000063.2,LYN,01301,NP_002341.1,in vivo
PTPN6,01475,NP_536859.1,LYN,01301,NP_002341.1,in vitro;in vivo
TYK2,01490,NP_003322.3,LYN,01301,NP_002341.1,in vitro
LYN,01301,NP_002341.1,PRKCD,01501,NP_006245.2,in vitro
LYN,01301,NP_002341.1,BTK,02248,NP_000052.1,in vitro;in vivo
GRIA3,02378,NP_000819.3,LYN,01301,NP_002341.1,in vivo
DSTN,16446,NP_006861.1,ACTG1,00017,NP_001605.1,in vitro
SRC,01819,NP_005408.1,CD59,00117,NP_000602.1,in vivo
MATK,02496,NP_002369.2,LYN,01301,NP_002341.1,in vitro;in vivo
CD24,02510,NP_037362.1,LYN,01301,NP_002341.1,in vivo
LYN,01301,NP_002341.1,SYK,02514,NP_003168.2,in vitro;in vivo
PDE4A,02527,NP_001104777.1,LYN,01301,NP_002341.1,in vitro
LYN,01301,NP_002341.1,PLCG2,02570,AAH11772.1,in vitro
PRKCQ,02710,NP_006248.1,LYN,01301,NP_002341.1,in vivo
SHC1,02780,NP_001123512.1,LYN,01301,NP_002341.1,in vitro
CASP3,02799,NP_004337.2,LYN,01301,NP_002341.1,in vitro;in vivo
HNRNPK,02834,NP_002131.2,LYN,01301,NP_002341.1,in vitro
PTK2,02859,NP_005598.3,LYN,01301,NP_002341.1,in vivo
SLC6A8,02073,NP_005620.1,CD59,00117,NP_000602.1,in vivo
PRKDC,02941,NP_008835.5,LYN,01301,NP_002341.1,in vitro
PTK2B,03131,NP_004094.3,LYN,01301,NP_002341.1,in vivo
PIK3CG,03135,NP_002640.2,LYN,01301,NP_002341.1,in vivo
LYN,01301,NP_002341.1,HCLS1,03199,NP_005326.2,in vitro;in vivo
LCP2,03362,NP_005556.1,LYN,01301,NP_002341.1,in vitro;in vivo
MAPK3,03479,NP_002737.2,LYN,01301,NP_002341.1,in vivo
LYN,01301,NP_002341.1,MAP4K1,03583,NP_009112.1,in vitro
KHDRBS1,03926,NP_006550.1,LYN,01301,NP_002341.1,in vitro
LYN,01301,NP_002341.1,RGS16,03945,NP_002919.3,in vitro;in vivo
UBXN11,10245,NP_892120.2,ZFYVE9,04782,NP_004790.2,yeast 2-hybrid
NCR1,05167,NP_004820.1,CD59,00117,NP_000602.1,in vivo
LYN,01301,NP_002341.1,PPP1R8,04028,NP_054829.2,in vitro
NPHS1,04094,NP_004637.1,LYN,01301,NP_002341.1,in vivo
DLG4,04199,NP_001356.1,LYN,01301,NP_002341.1,in vivo
BCAR1,04248,NP_055382.2,LYN,01301,NP_002341.1,in vitro;in vivo
UNC119,04927,NP_005139.1,LYN,01301,NP_002341.1,in vitro;in vivo
TRAT1,05392,NP_057472.2,LYN,01301,NP_002341.1,in vitro
SKAP1,05396,NP_003717.3,LYN,01301,NP_002341.1,in vitro
SKAP2,05558,NP_003921.2,LYN,01301,NP_002341.1,in vivo
LYN,01301,NP_002341.1,TRPV4,05667,NP_067638.3,in vitro;in vivo
PAG1,05772,NP_060910.3,LYN,01301,NP_002341.1,in vitro
NCR3,11384,NP_667341.1,CD59,00117,NP_000602.1,in vitro;in vivo
GAB2,05866,NP_036428.1,LYN,01301,NP_002341.1,in vivo
PRAM1,05926,NP_115528.3,LYN,01301,NP_002341.1,in vivo
GAB3,06571,NP_001075042.1,LYN,01301,NP_002341.1,in vitro
PPP1R15A,06572,NP_055145.3,LYN,01301,NP_002341.1,in vitro;in vivo;yeast 2-hybrid
LYN,01301,NP_002341.1,FCGR2B,06849,NP_003992.3,in vitro
INPP5D,09033,NP_001017915.1,LYN,01301,NP_002341.1,in vitro;in vivo
CBLC,09765,NP_036248.3,LYN,01301,NP_002341.1,in vitro
BANK1,09819,NP_060405.4,LYN,01301,NP_002341.1,in vitro;in vivo
GP6,10406,BAB12247.1,LYN,01301,NP_002341.1,in vitro;in vivo
EVL,10942,NP_057421.1,LYN,01301,NP_002341.1,in vitro
GRB2,00150,NP_002077.1,CD72,00118,NP_001773.1,in vitro
NEDD9,11888,NP_006394.1,LYN,01301,NP_002341.1,in vivo
CHST15,12203,NP_056976.2,LYN,01301,NP_002341.1,in vivo
SH2B2,16097,NP_066189.3,LYN,01301,NP_002341.1,in vitro
DOK3,16834,NP_079148.2,LYN,01301,NP_002341.1,in vitro
JUN,01302,NP_002219.1,JUN,01302,NP_002219.1,in vitro;in vivo
SPI1,01305,NP_001074016.1,JUN,01302,NP_002219.1,in vivo
POU1F1,01409,NP_001116229.1,JUN,01302,NP_002219.1,in vitro
MAF,01518,NP_005351.2,JUN,01302,NP_002219.1,in vitro;in vivo
RB1,01574,NP_000312.2,JUN,01302,NP_002219.1,in vitro;in vivo
NR5A1,01702,NP_004950.2,JUN,01302,NP_002219.1,in vitro
CD5,01078,NP_055022.2,CD72,00118,NP_001773.1,in vitro;in vivo
NFYA,01793,NP_002496.1,JUN,01302,NP_002219.1,in vivo
SP1,01796,NP_612482.2,JUN,01302,NP_002219.1,in vitro;in vivo
GTF2F2,01804,NP_004119.1,JUN,01302,NP_002219.1,in vitro;in vivo
ABL1,01809,NP_009297.2,JUN,01302,NP_002219.1,in vitro;in vivo
TPM1,01839,NP_000357.3,JUN,01302,NP_002219.1,in vivo;yeast 2-hybrid
HCFC1,02061,NP_005325.2,JUN,01302,NP_002219.1,in vitro
TAF1,02436,NP_004597.2,JUN,01302,NP_002219.1,in vitro
AR,02437,NP_000035.2,JUN,01302,NP_002219.1,in vitro;in vivo;yeast 2-hybrid
TBP,02511,NP_003185.1,JUN,01302,NP_002219.1,in vitro
CREBBP,02534,NP_004371.2,JUN,01302,NP_002219.1,in vitro;in vivo
PTPN6,01475,NP_536859.1,CD72,00118,NP_001773.1,in vitro;in vivo
RUNX2,02566,NP_001019801.3,JUN,01302,NP_002219.1,in vitro;in vivo;yeast 2-hybrid
STAT1,02777,NP_009330.1,JUN,01302,NP_002219.1,in vivo
STAT4,02779,NP_003142.1,JUN,01302,NP_002219.1,in vivo
HMGA1,02829,NP_665906.1,JUN,01302,NP_002219.1,in vitro
PRKDC,02941,NP_008835.5,JUN,01302,NP_002219.1,in vitro
SMAD4,02995,NP_005350.1,JUN,01302,NP_002219.1,in vitro
PIN1,03031,NP_006212.1,JUN,01302,NP_002219.1,in vitro;in vivo
MAPK8,03100,NP_620637.1,JUN,01302,NP_002219.1,in vitro;in vivo
NACA,03137,NP_001106674.1,JUN,01302,NP_002219.1,in vitro;in vivo
SMAD2,03221,NP_005892.1,JUN,01302,NP_002219.1,in vitro;in vivo
SEMA4D,03520,NP_006369.3,CD72,00118,NP_001773.1,in vitro;in vivo
TDG,03251,NP_003202.3,JUN,01302,NP_002219.1,in vivo;yeast 2-hybrid
FOSL2,03343,NP_005244.1,JUN,01302,NP_002219.1,in vivo
SMARCD1,03438,NP_003067.3,JUN,01302,NP_002219.1,in vitro
VDR,03463,NP_000367.1,JUN,01302,NP_002219.1,in vitro
MAPK3,03479,NP_002737.2,JUN,01302,NP_002219.1,in vivo;yeast 2-hybrid
SUMO1,03554,NP_003343.1,JUN,01302,NP_002219.1,in vitro;in vivo
NCOA3,03570,NP_858045.1,JUN,01302,NP_002219.1,in vitro;in vivo
NRIP1,03927,NP_003480.2,JUN,01302,NP_002219.1,in vitro;in vivo
TGIF1,04023,NP_733796.2,JUN,01302,NP_002219.1,in vitro;in vivo
NCOA1,04070,NP_003734.3,JUN,01302,NP_002219.1,in vitro
BLNK,05153,NP_037446.1,CD72,00118,NP_001773.1,in vivo
EP300,04078,NP_001420.2,JUN,01302,NP_002219.1,in vitro;in vivo
MAPK9,04206,NP_002743.3,JUN,01302,NP_002219.1,in vitro
TSC22D3,04266,NP_932174.1,JUN,01302,NP_002219.1,in vitro
TCF20,04378,NP_005641.1,JUN,01302,NP_002219.1,in vitro
SMAD3,04380,NP_005893.1,JUN,01302,NP_002219.1,in vitro;in vivo
DHX9,04386,NP_001348.2,JUN,01302,NP_002219.1,in vitro
ATF3,04395,NP_001665.1,JUN,01302,NP_002219.1,in vitro;in vivo
HIF1A,04517,NP_001521.1,JUN,01302,NP_002219.1,in vivo
TRIP4,05140,NP_057297.2,JUN,01302,NP_002219.1,in vivo
MYBBP1A,05349,NP_001099008.1,JUN,01302,NP_002219.1,in vitro
SERPINA3,00120,NP_001076.2,SERPINA3,00120,NP_001076.2,in vitro
PRKD1,05668,NP_002733.2,JUN,01302,NP_002219.1,in vivo
DDX21,05895,NP_004719.2,JUN,01302,NP_002219.1,in vitro;in vivo
SPIB,06007,Q01892,JUN,01302,NP_002219.1,in vitro
PACS1,06320,NP_060496.2,JUN,01302,NP_002219.1,in vitro;in vivo
ATF4,06817,NP_001666.2,JUN,01302,NP_002219.1,in vitro
HHEX,06829,NP_002720.1,JUN,01302,NP_002219.1,in vitro;yeast 2-hybrid
COPS5,06888,NP_006828.2,JUN,01302,NP_002219.1,in vitro
MAFB,07129,NP_005452.2,JUN,01302,NP_002219.1,in vitro
RFWD2,07455,NP_071902.2,JUN,01302,NP_002219.1,in vivo
EN1,08835,NP_001417.3,JUN,01302,NP_002219.1,in vitro;yeast 2-hybrid
TBCB,03196,NP_001272.2,USP7,03950,NP_003461.2,yeast 2-hybrid
CTSG,00289,NP_001902.1,SERPINA3,00120,NP_001076.2,in vitro;in vivo
GTF2B,08928,NP_001505.1,JUN,01302,NP_002219.1,in vitro
HDAC3,08950,NP_003874.2,JUN,01302,NP_002219.1,in vivo
UBE2I,09045,NP_003336.1,JUN,01302,NP_002219.1,in vitro;yeast 2-hybrid
